epochs,losses,size_losses,religion_losses,ethnicity_losses,household_composition_losses,religion_accuracies,ethnicity_accuracies,household_composition_accuracies,size_distribution_accuracies,overall_accuracies,cumulative_time_seconds,epoch_time_seconds,tau_values,learning_rate,hidden_channels,combination_id
1,43.674591064453125,0.09852930158376694,13.506671905517578,13.73537826538086,16.334009170532227,40.18070235254006,62.171837708830544,12.188885100579611,94.5438802242279,52.27132634654452,11.266576290130615,11.266576290130615,0.995,0.001,256,lr_0.001_hc_256
2,43.02734375,0.09875059872865677,13.116769790649414,13.797439575195312,16.01438331604004,40.64098192976475,61.84793726559836,12.785543811796796,94.63048577308655,52.476237195061614,21.192298889160156,9.383366584777832,0.990025,0.001,256,lr_0.001_hc_256
3,41.189369201660156,0.10493172705173492,12.21744155883789,13.150152206420898,15.716843605041504,42.17524718718036,62.30821684282305,12.853733378793045,94.39953565597534,52.934183266192946,30.138439893722534,8.478490352630615,0.985074875,0.001,256,lr_0.001_hc_256
4,38.62664794921875,0.11006701737642288,11.478586196899414,11.939587593078613,15.098407745361328,43.01056938288442,61.813842482100235,12.018411183088986,93.99538040161133,52.70955086242124,38.980839014053345,8.392365455627441,0.9801495006250001,0.001,256,lr_0.001_hc_256
5,35.48896026611328,0.13433365523815155,10.298330307006836,10.363153457641602,14.693143844604492,44.44255028980566,61.89907944084555,11.933174224343675,93.93764734268188,53.05311282441919,47.688721656799316,8.25016164779663,0.9752487531218751,0.001,256,lr_0.001_hc_256
6,32.434295654296875,0.17571204900741577,9.40342903137207,8.621747016906738,14.233409881591797,45.51653596999659,62.990112512785544,12.342311626321173,93.24480295181274,53.52344076522901,56.4973783493042,8.358927965164185,0.9703725093562657,0.001,256,lr_0.001_hc_256
7,29.106292724609375,0.2807150185108185,8.478218078613281,6.886815547943115,13.460545539855957,47.22127514490283,62.1036481418343,13.433344698261166,93.67783069610596,54.109024670276064,65.09841585159302,8.150079488754272,0.9655206468094844,0.001,256,lr_0.001_hc_256
8,26.71623992919922,0.5209349393844604,7.894518852233887,5.330453872680664,12.970332145690918,50.306853051483124,64.01295601772928,13.791339924991478,92.21329689025879,55.081111471115676,74.16279220581055,8.624537944793701,0.960693043575437,0.001,256,lr_0.001_hc_256
9,24.36016082763672,0.8642247915267944,7.053414821624756,4.324464321136475,12.118056297302246,52.659393112853735,63.774292533242416,14.047050801227412,89.45887088775635,54.98490183376998,82.76842641830444,8.166072368621826,0.9558895783575597,0.001,256,lr_0.001_hc_256
10,22.900083541870117,1.0972071886062622,6.4664459228515625,4.170450687408447,11.165979385375977,54.60279577224685,64.11524036822365,14.473235594953973,88.80409002304077,55.4988404396163,91.36829161643982,8.155885696411133,0.9511101304657719,0.001,256,lr_0.001_hc_256
11,21.261905670166016,1.261724591255188,6.115242958068848,4.097071647644043,9.787866592407227,55.43811796795091,63.944766450733034,14.012956017729286,88.31034302711487,55.42654586588203,100.00225639343262,8.187501192092896,0.946354579813443,0.001,256,lr_0.001_hc_256
12,19.699012756347656,1.2587254047393799,5.46391487121582,4.2952470779418945,8.681126594543457,57.483804977838396,64.52437777020116,15.632458233890215,88.34230899810791,56.49573749500942,108.61816000938416,8.139617681503296,0.9416228069143757,0.001,256,lr_0.001_hc_256
13,17.556583404541016,1.095065712928772,5.087131977081299,4.113858699798584,7.260526657104492,58.677122400272765,64.88237299693147,14.848278213433344,87.1004045009613,56.37704452789972,117.30814671516418,8.249886751174927,0.9369146928798039,0.001,256,lr_0.001_hc_256
14,15.59339427947998,0.9134669899940491,4.448185920715332,4.130594730377197,6.101146697998047,60.109103307194,65.9052165018752,16.553017388339583,85.86058616638184,57.10698084094765,125.94199109077454,8.181739330291748,0.9322301194154049,0.001,256,lr_0.001_hc_256
15,14.086862564086914,0.8493250608444214,4.21173095703125,3.8292288780212402,5.196577548980713,61.16604159563587,66.5871121718377,17.337197408796452,86.37771010398865,57.86701532006467,135.25830006599426,8.86986780166626,0.9275689688183278,0.001,256,lr_0.001_hc_256
16,12.583197593688965,0.8545635938644409,3.625715732574463,3.5868637561798096,4.516054153442383,63.944766450733034,68.20661438799863,17.541766109785204,86.6921603679657,59.096326829120635,144.05796146392822,8.379726886749268,0.9229311239742362,0.001,256,lr_0.001_hc_256
17,11.516704559326172,0.7908682227134705,3.2447478771209717,3.171114444732666,4.309974193572998,66.85987043982271,69.24650528469144,17.763382202523015,85.44214367866516,59.82797540142558,153.0782527923584,8.577913999557495,0.918316468354365,0.001,256,lr_0.001_hc_256
18,9.81801986694336,0.7953938841819763,2.6269474029541016,2.693157434463501,3.702521800994873,68.6327991817252,69.72383225366518,18.17251960450051,83.94371271133423,60.11821593780628,161.97218561172485,8.433985948562622,0.9137248860125932,0.001,256,lr_0.001_hc_256
19,9.512340545654297,0.8182547092437744,2.322859287261963,2.6976311206817627,3.673595666885376,70.6273440163655,70.57620184111832,19.29764745993863,84.07326340675354,61.14361418104399,170.9736201763153,8.545158863067627,0.9091562615825302,0.001,256,lr_0.001_hc_256
20,8.465071678161621,0.8398847579956055,1.856054663658142,2.4973251819610596,3.271806478500366,72.11046709853393,70.67848619161269,17.712240027275826,81.73844814300537,60.55991036510695,180.16829752922058,8.742685079574585,0.9046104802746175,0.001,256,lr_0.001_hc_256
21,7.720622539520264,0.9438216686248779,1.5924344062805176,2.323770523071289,2.860596179962158,73.32083191271735,71.01943402659393,19.22945789294238,80.47799468040466,61.01192962816459,188.78782677650452,8.135680198669434,0.9000874278732445,0.001,256,lr_0.001_hc_256
22,7.239254951477051,0.9206647872924805,1.2648710012435913,2.2319910526275635,2.821727752685547,75.34947153085578,71.29219229457892,19.843163995908625,80.47423958778381,61.73976685228178,197.46588468551636,8.20784592628479,0.8955869907338783,0.001,256,lr_0.001_hc_256
23,6.6862993240356445,0.9584596753120422,0.9237150549888611,2.1506965160369873,2.653428077697754,77.34401636549609,71.88885100579611,20.354585748380497,77.84229516983032,61.85743707237575,206.3480806350708,8.448240280151367,0.8911090557802088,0.001,256,lr_0.001_hc_256
24,6.458150863647461,0.9647486805915833,0.8743058443069458,1.9263818264007568,2.6927146911621094,77.5144902829867,72.00818274803954,20.473917490623936,77.46901512145996,61.86640141077754,214.97778987884521,8.167098045349121,0.8866535105013078,0.001,256,lr_0.001_hc_256
25,6.026658535003662,0.8861760497093201,0.6904496550559998,2.0399625301361084,2.4100704193115234,78.63961813842482,71.83770883054893,21.070576201841117,74.9706506729126,61.62963846093186,223.77817964553833,8.361891508102417,0.8822202429488013,0.001,256,lr_0.001_hc_256
26,5.669976234436035,0.9123862385749817,0.5162540078163147,1.8311175107955933,2.4102184772491455,80.63416297306512,72.31503579952268,22.45141493351517,74.94401931762695,62.586158255932475,232.39394283294678,8.147923469543457,0.8778091417340573,0.001,256,lr_0.001_hc_256
27,5.355100631713867,0.8421955704689026,0.46367937326431274,1.734141230583191,2.315084457397461,80.90692124105013,73.52540061370611,23.35492669621548,77.67646312713623,63.86592791952699,241.10787773132324,8.269900798797607,0.8734200960253871,0.001,256,lr_0.001_hc_256
28,5.414497375488281,0.8349350690841675,0.4409211277961731,1.819065809249878,2.319575309753418,81.35015342652574,73.37197408796455,22.63893624275486,74.36553239822388,62.931649038867256,249.7462031841278,8.18303918838501,0.8690529955452602,0.001,256,lr_0.001_hc_256
29,5.075562477111816,0.8165277242660522,0.38705217838287354,1.607280969619751,2.2647018432617188,81.89566996249575,73.88339584043642,23.74701670644391,75.66301822662354,63.7972751839999,259.33149766921997,9.1038339138031,0.8647077305675338,0.001,256,lr_0.001_hc_256
30,4.884366035461426,0.8090189695358276,0.3400869071483612,1.5428516864776611,2.192408323287964,82.57756563245823,74.37777020115922,24.12205932492329,74.35309290885925,63.85762201684999,268.1122102737427,8.31879186630249,0.8603841919146962,0.001,256,lr_0.001_hc_256
31,4.671474933624268,0.7584550976753235,0.3247796595096588,1.5226140022277832,2.0656261444091797,82.91851346743948,75.14490282986704,24.105011933174225,75.62394142150879,64.44809241299738,276.947793006897,8.365196466445923,0.8560822709551227,0.001,256,lr_0.001_hc_256
32,4.47578239440918,0.7465582489967346,0.30913326144218445,1.4429670572280884,1.977123737335205,83.48107739515854,75.58813501534264,24.173201500170475,74.62822198867798,64.46765897483742,286.23949432373047,8.851642608642578,0.851801859600347,0.001,256,lr_0.001_hc_256
33,4.192688465118408,0.7160355448722839,0.3033542335033417,1.3655740022659302,1.8077248334884644,83.25946130242073,76.42345721104671,26.66212069553358,73.7395167350769,65.02113898601948,295.0541157722473,8.36642336845398,0.8475428503023453,0.001,256,lr_0.001_hc_256
34,4.232183456420898,0.70000159740448,0.3274950683116913,1.41803777217865,1.7866488695144653,83.12308216842823,75.75860893283327,26.54278895329015,74.44767355918884,64.96803840343513,303.76766896247864,8.226537942886353,0.8433051360508336,0.001,256,lr_0.001_hc_256
35,4.138301372528076,0.7209306359291077,0.3073482811450958,1.4091813564300537,1.7008408308029175,82.78213433344698,76.23593590180703,28.07705421070576,74.93221759796143,65.5068355109803,312.8277680873871,8.610102891921997,0.8390886103705794,0.001,256,lr_0.001_hc_256
36,3.9894440174102783,0.7281220555305481,0.30835142731666565,1.3377898931503296,1.6151807308197021,83.46403000340948,76.55983634503922,27.088305489260144,73.52834939956665,65.16013030931887,321.8754162788391,8.576020240783691,0.8348931673187264,0.001,256,lr_0.001_hc_256
37,3.7506251335144043,0.7249128222465515,0.29968440532684326,1.2640284299850464,1.461999535560608,83.22536651892261,76.35526764405046,29.44084555063075,74.08482432365417,65.7765760093145,330.6976089477539,8.36305022239685,0.8307187014821328,0.001,256,lr_0.001_hc_256
38,3.74057674407959,0.7257087230682373,0.30782464146614075,1.2086478471755981,1.498395562171936,83.46403000340948,77.41220593249233,29.747698602113875,72.87060022354126,65.87363369038923,339.4677731990814,8.280149459838867,0.8265651079747222,0.001,256,lr_0.001_hc_256
39,3.57688045501709,0.7000330686569214,0.2762860059738159,1.2039510011672974,1.396610140800476,84.00954653937947,77.68496420047732,31.5035799522673,72.80154228210449,66.49990824355714,348.3964960575104,8.466796159744263,0.8224322824348486,0.001,256,lr_0.001_hc_256
40,3.54740571975708,0.6818525791168213,0.2992999255657196,1.2206565141677856,1.3455969095230103,83.6856460961473,77.2417320150017,31.418342993521993,73.83856773376465,66.54607220960891,357.47814774513245,8.600621938705444,0.8183201210226743,0.001,256,lr_0.001_hc_256
41,3.539958953857422,0.7010952830314636,0.2990350127220154,1.1849374771118164,1.354891300201416,83.37879304466416,78.45209682918514,30.941016024548247,73.2221245765686,66.49850761874154,366.33255910873413,8.404014348983765,0.8142285204175609,0.001,256,lr_0.001_hc_256
42,3.4800047874450684,0.6821606159210205,0.29774799942970276,1.1504096984863281,1.349686622619629,83.73678827139447,78.16229116945107,30.75349471530856,73.70043992996216,66.58825352152907,375.2908523082733,8.471405744552612,0.810157377815473,0.001,256,lr_0.001_hc_256
43,3.477630615234375,0.6688823103904724,0.3147456645965576,1.2256988286972046,1.2683037519454956,84.43573133310603,79.18513467439482,32.35594953972043,73.94670248031616,67.48087950688436,385.063111782074,9.333059787750244,0.8061065909263957,0.001,256,lr_0.001_hc_256
44,3.1799607276916504,0.6594188809394836,0.2865864038467407,1.0067650079727173,1.2271904945373535,84.24821002386635,79.56017729287419,33.25946130242073,74.15276765823364,67.80515406934873,393.77254462242126,8.25035285949707,0.8020760579717637,0.001,256,lr_0.001_hc_256
45,3.14546537399292,0.6405512690544128,0.31684571504592896,0.9955167174339294,1.192551612854004,84.07773610637572,80.20797817933855,32.509376065461986,71.73851728439331,67.13340190889238,402.4580364227295,8.218668460845947,0.798065677681905,0.001,256,lr_0.001_hc_256
46,3.2051143646240234,0.671593964099884,0.321907103061676,0.9956183433532715,1.2159950733184814,84.1800204568701,80.29321513808387,33.08898738493011,74.65087175369263,68.05327368339418,411.1573574542999,8.232292175292969,0.7940753492934954,0.001,256,lr_0.001_hc_256
47,3.1123340129852295,0.6784001588821411,0.28429433703422546,0.9927404522895813,1.1568989753723145,84.23116263211729,80.17388339584043,32.90146607569042,74.29088950157166,67.89935040130494,420.7926826477051,9.167752742767334,0.7901049725470279,0.001,256,lr_0.001_hc_256
48,3.0951128005981445,0.6793196201324463,0.28767430782318115,0.9159506559371948,1.2121680974960327,84.94715308557791,81.5547221275145,32.79918172519605,72.85704016685486,68.03952427628583,430.0157024860382,8.706202268600464,0.7861544476842928,0.001,256,lr_0.001_hc_256
49,3.090343713760376,0.6514924168586731,0.312410444021225,0.9380007386207581,1.1884400844573975,84.89601091033072,80.88987384930105,32.42413910671667,73.25162887573242,67.86541318552023,438.75312066078186,8.26563811302185,0.7822236754458713,0.001,256,lr_0.001_hc_256
50,2.9800562858581543,0.6357972621917725,0.30399128794670105,0.9082053303718567,1.1320624351501465,84.43573133310603,81.40129560177293,34.14592567337198,71.53643369674683,67.87984657624943,448.6571640968323,9.434166431427002,0.778312557068642,0.001,256,lr_0.001_hc_256
51,2.8671493530273438,0.6636428833007812,0.2949213683605194,0.8038308024406433,1.1047543287277222,84.9982952608251,81.26491646778044,34.84486873508354,71.33547067642212,68.1108877850278,457.71951508522034,8.59034013748169,0.7744209942832988,0.001,256,lr_0.001_hc_256
52,2.8146181106567383,0.6440736651420593,0.29878753423690796,0.7942978739738464,1.0774592161178589,84.79372655983634,82.44118649846574,34.11183088987385,73.54142665863037,68.72204265170157,466.457396030426,8.295452117919922,0.7705488893118823,0.001,256,lr_0.001_hc_256
