epochs,losses,size_losses,religion_losses,ethnicity_losses,household_composition_losses,religion_accuracies,ethnicity_accuracies,household_composition_accuracies,size_distribution_accuracies,overall_accuracies,cumulative_time_seconds,epoch_time_seconds,tau_values
1,46.262210845947266,0.09697369486093521,13.820232391357422,14.154814720153809,18.190189361572266,39.97613365155131,62.1036481418343,11.080804636890555,95.40992975234985,52.142629045656506,7.1624321937561035,7.1624321937561035,0.995
2,45.097808837890625,0.09895645827054977,13.476667404174805,13.954046249389648,17.568138122558594,40.87964541425162,62.87078077054211,12.478690760313672,92.52309799194336,52.188053734262695,14.361037015914917,6.8811845779418945,0.990025
3,43.54021453857422,0.10051608830690384,12.869206428527832,13.586584091186523,16.983909606933594,40.67507671326287,61.50698943061712,11.097852028639618,94.13972496986389,51.85491078559588,21.45198130607605,6.728992223739624,0.985074875
4,40.899627685546875,0.1039515808224678,12.07504940032959,12.766401290893555,15.954227447509766,42.004773269689736,62.18888510057962,11.200136379133992,92.92725324630737,52.08026199892768,28.48879337310791,6.67200779914856,0.9801495006250001
5,38.37248992919922,0.1184726431965828,11.088581085205078,12.18199634552002,14.983442306518555,43.62427548585067,61.47289464711899,12.154790317081487,93.50461959838867,52.68914501210995,35.69758439064026,6.849326133728027,0.9752487531218751
6,34.34237289428711,0.1599876433610916,10.019911766052246,10.640185356140137,13.522290229797363,45.687009887487214,62.30821684282305,11.438799863620867,92.55196452140808,52.996497778834794,44.2948682308197,8.231393575668335,0.9703725093562657
7,30.666297912597656,0.26341286301612854,9.330815315246582,8.775320053100586,12.296749114990234,47.88612342311626,62.00136379133993,12.580975110808046,92.10987091064453,53.64458330897719,54.58731174468994,9.892007112503052,0.9655206468094844
8,27.13612174987793,0.6359069347381592,8.55756950378418,6.677779197692871,11.26486587524414,49.79543129901125,61.91612683259461,13.46743948175929,90.65583944320679,53.95870926414298,66.31491327285767,11.193467855453491,0.960693043575437
9,24.737499237060547,1.3365914821624756,7.813735485076904,5.30505895614624,10.282113075256348,52.57415615410842,62.359359018070236,13.859529491987727,90.26761054992676,54.76516380352328,74.88384652137756,8.153954267501831,0.9558895783575597
10,21.947742462158203,1.716927170753479,7.170406341552734,4.139272212982178,8.921136856079102,53.9890896692806,63.38220252301397,14.217524718718035,87.17185258865356,54.69016737491654,82.1557285785675,6.899967193603516,0.9511101304657719
11,19.732370376586914,1.5968382358551025,6.590496063232422,3.8806581497192383,7.664377689361572,56.614387998636204,64.35390385271053,13.961813842482101,86.15831732749939,55.272105755332056,89.53555154800415,6.983565807342529,0.946354579813443
12,18.07447052001953,1.2662928104400635,6.202969551086426,4.008481025695801,6.596728324890137,56.426866689396526,64.43914081145584,16.433685646096148,84.2840850353241,55.395944545568156,98.51366877555847,8.597136974334717,0.9416228069143757
13,16.294193267822266,1.1198738813400269,5.391290187835693,3.866361379623413,5.916667461395264,57.671326287078074,65.5472212751449,17.09853392430958,82.9728364944458,55.82247949524459,105.70726299285889,6.817148447036743,0.9369146928798039
14,15.33563232421875,1.1816811561584473,4.949112415313721,3.454383134841919,5.750455379486084,58.35322195704057,66.2291169451074,16.501875213092397,82.37516283988953,55.86484423878246,112.84519934654236,6.767433166503906,0.9322301194154049
15,13.821430206298828,1.10860276222229,4.311065673828125,3.027503728866577,5.374258518218994,61.421752471871805,67.57586089328332,17.337197408796452,81.46549463272095,56.95007635166813,120.33058071136475,7.118436574935913,0.9275689688183278
16,13.196050643920898,1.1188524961471558,4.026319980621338,3.2223551273345947,4.828522205352783,62.359359018070236,68.66689396522332,18.121377429253325,80.99091053009033,57.5346352356593,128.66448998451233,7.983365297317505,0.9229311239742362
17,11.569815635681152,1.0334649085998535,3.3924484252929688,2.6696953773498535,4.474206924438477,65.97340606887147,69.46812137742924,18.59870439822707,81.03950619697571,58.76993451037586,136.0098352432251,6.952346563339233,0.918316468354365
18,10.732221603393555,0.9871810078620911,2.938582420349121,2.56650447845459,4.239953994750977,67.50767132628708,70.8489601091033,19.65564268666894,80.42265176773071,59.60873147244751,143.26820421218872,6.897805213928223,0.9137248860125932
19,9.624584197998047,0.8982729315757751,2.3931422233581543,2.4224023818969727,3.910766839981079,70.78077054210705,71.56495056256392,19.72383225366519,80.33055067062378,60.60002600723999,150.50280904769897,6.83563232421875,0.9091562615825302
20,8.755943298339844,0.853995144367218,2.0107157230377197,2.311581611633301,3.579650402069092,72.3491305830208,71.5308557790658,20.235254006137062,80.96847534179688,61.27092892750513,157.63127899169922,6.7665417194366455,0.9046104802746175
21,8.113371849060059,0.7994118332862854,1.6099153757095337,2.2234928607940674,3.4805514812469482,73.57654278895329,71.70132969655643,20.644391408114558,80.03297448158264,61.48880959380173,164.72073435783386,6.723543643951416,0.9000874278732445
22,7.878488540649414,0.8290597796440125,1.4245977401733398,2.2249197959899902,3.3999111652374268,75.23013978861233,71.29219229457892,21.29219229457893,79.22574281692505,61.760066798673805,171.94647979736328,6.845685243606567,0.8955869907338783
23,7.001097679138184,0.8302192091941833,1.035156011581421,1.9606748819351196,3.1750473976135254,77.39515854074327,72.05932492328674,21.56495056256393,79.15500402450562,62.54360951277489,179.00523710250854,6.712456941604614,0.8911090557802088
24,6.680122375488281,0.8220804333686829,0.7565425634384155,2.0686864852905273,3.0328128337860107,78.23048073644733,71.83770883054893,21.991135356290485,79.38651442527771,62.86145983714111,186.19127988815308,6.827011823654175,0.8866535105013078
25,6.238216400146484,0.8591878414154053,0.6130774021148682,1.827297568321228,2.9386532306671143,79.28741902488919,71.8036140470508,20.917149676099555,76.56610012054443,62.14357071714599,193.45919275283813,6.865849733352661,0.8822202429488013
26,5.827568531036377,0.8371506929397583,0.4839390218257904,1.7308249473571777,2.775653839111328,80.58302079781794,72.40027275826797,21.92294578929424,76.75700187683105,62.915810305552796,200.57898449897766,6.752790927886963,0.8778091417340573
27,5.759525299072266,0.852705717086792,0.4827464520931244,1.7715356349945068,2.6525371074676514,81.0092055915445,72.9798840777361,22.195704057279237,76.27260088920593,63.11434865394144,207.64131355285645,6.71427583694458,0.8734200960253871
28,5.294823169708252,0.8104109168052673,0.38737866282463074,1.7037241458892822,2.3933095932006836,81.98090692124104,73.35492669621549,23.5254006137061,76.76846981048584,63.90742601041212,214.69810914993286,6.692454814910889,0.8690529955452602
29,5.241909980773926,0.8611714839935303,0.355835497379303,1.5420730113983154,2.4828298091888428,81.87862257074667,74.05386975792703,23.474258438458918,75.23557543754578,63.66058155116961,222.28273272514343,7.231761455535889,0.8647077305675338
30,4.9686174392700195,0.8381300568580627,0.3436208963394165,1.4888911247253418,2.2979753017425537,82.59461302420729,73.67882713944766,23.678827139447662,75.4796028137207,63.85796752920583,229.67506861686707,6.991518497467041,0.8603841919146962
31,4.879252910614014,0.840609073638916,0.33767709136009216,1.4396413564682007,2.2613253593444824,82.81622911694511,74.46300715990454,23.42311626321173,74.8880386352539,63.89759779382882,236.97773122787476,6.918086767196655,0.8560822709551227
32,4.5962066650390625,0.8045375347137451,0.32058173418045044,1.34160315990448,2.1294844150543213,83.6856460961473,74.41186498465736,24.786907603136722,74.59934949874878,64.37094204567254,244.3510992527008,6.97467041015625,0.851801859600347
33,4.620032787322998,0.8121777176856995,0.306763231754303,1.3155745267868042,2.1855173110961914,83.4128878281623,75.26423457211047,24.258438458915784,72.12337255477905,63.7647333534919,252.7069606781006,7.965652942657471,0.8475428503023453
34,4.42949914932251,0.7920287251472473,0.2858058512210846,1.2527631521224976,2.0989012718200684,83.54926696215479,75.58813501534264,25.110808046368906,73.64892959594727,64.47428490495341,260.3165194988251,7.2331366539001465,0.8433051360508336
35,4.25950813293457,0.7850536704063416,0.2775008976459503,1.2425987720489502,1.9543548822402954,83.66859870439822,75.84384589157858,26.321172860552334,72.26436138153076,64.52449470951498,268.1443295478821,7.410075664520264,0.8390886103705794
36,4.287596225738525,0.759209156036377,0.29058638215065,1.3551069498062134,1.882693886756897,83.78793044664167,76.0143198090692,27.923627684964202,71.59640192985535,64.8305699676326,275.6310510635376,7.0388689041137695,0.8348931673187264
37,4.081574440002441,0.7608292102813721,0.28932270407676697,1.2247240543365479,1.8066983222961426,83.44698261166042,77.20763723150358,27.582679849982956,72.94588088989258,65.29579514575987,283.24414706230164,7.212221145629883,0.8307187014821328
38,4.105868816375732,0.7919411063194275,0.3016003668308258,1.2658473253250122,1.746480107307434,83.17422434367542,77.44630071599046,29.491987725877937,71.91905975341797,65.50789313474044,290.4643075466156,6.786037921905518,0.8265651079747222
39,3.828981876373291,0.7701537013053894,0.2908836603164673,1.1383609771728516,1.629583477973938,83.39584043641322,77.5144902829867,29.253324241391066,72.44889736175537,65.6531380806366,297.62394642829895,6.789927959442139,0.8224322824348486
40,3.8567605018615723,0.7719943523406982,0.33154258131980896,1.135155200958252,1.6180680990219116,83.51517217865666,78.40095465393794,30.037504261847936,70.24405598640442,65.54942177021174,304.823849439621,6.816154718399048,0.8183201210226743
41,3.723526954650879,0.7389979362487793,0.29785239696502686,1.142241358757019,1.5444353818893433,83.53221957040573,78.43504943743608,30.08864643709512,71.67056798934937,65.93162085857158,311.99738359451294,6.783474683761597,0.8142285204175609
42,3.622748851776123,0.7497209906578064,0.29137617349624634,1.0990102291107178,1.4826414585113525,82.90146607569042,79.11694510739858,31.179679509035118,69.70576643943787,65.72596428289049,322.06139612197876,9.677286863327026,0.810157377815473
43,3.4419448375701904,0.7627350687980652,0.304231196641922,0.9642075300216675,1.410771131515503,83.83907262188886,79.3726559836345,31.281963859529494,69.8099136352539,66.07590152507669,329.44396138191223,6.991595029830933,0.8061065909263957
