epochs,losses,size_losses,religion_losses,ethnicity_losses,household_composition_losses,religion_accuracies,ethnicity_accuracies,household_composition_accuracies,size_distribution_accuracies,overall_accuracies,cumulative_time_seconds,epoch_time_seconds,tau_values,learning_rate,hidden_channels,combination_id
1,11.245777130126953,3.08475399017334,1.4092772006988525,1.4313791990280151,5.320366382598877,40.692124105011935,62.58097511080805,11.694510739856803,93.70728731155396,52.16872431680768,2.252620220184326,2.252620220184326,0.995,0.001,64,lr_0.001_hc_64
2,11.267277717590332,3.0426578521728516,1.426257848739624,1.4353567361831665,5.3630051612854,40.692124105011935,62.973065121036484,11.302420729628366,95.15945315361023,52.53176577732175,4.517805576324463,2.1846516132354736,0.990025,0.001,64,lr_0.001_hc_64
3,11.253713607788086,2.9678940773010254,1.4426276683807373,1.4477733373641968,5.395419120788574,40.06137061029663,62.20593249232868,10.637572451414934,93.59339475631714,51.62456757758934,6.4785475730896,1.8974647521972656,0.985074875,0.001,64,lr_0.001_hc_64
4,11.046205520629883,2.8559648990631104,1.4056364297866821,1.428214430809021,5.356389999389648,41.23764064098193,62.22297988407773,12.052505966587113,93.62186789512634,52.28374859669328,8.482466697692871,1.937443733215332,0.9801495006250001,0.001,64,lr_0.001_hc_64
5,11.013511657714844,2.7473340034484863,1.4330918788909912,1.4350111484527588,5.398074626922607,40.436413228776,62.9219229457893,10.978520286396181,92.79612898826599,51.78324636230687,10.385639667510986,1.8381409645080566,0.9752487531218751,0.001,64,lr_0.001_hc_64
6,10.828283309936523,2.645068645477295,1.4324897527694702,1.4196621179580688,5.331063270568848,40.87964541425162,62.819638595294926,12.154790317081487,94.56150531768799,52.603894911078996,12.737579584121704,2.276684522628784,0.9703725093562657,0.001,64,lr_0.001_hc_64
7,10.787528991699219,2.531252861022949,1.448996663093567,1.4471323490142822,5.360147476196289,38.88510057961132,61.93317422434368,12.240027275826797,94.41913366317749,51.869358935739825,14.799671649932861,1.9993884563446045,0.9655206468094844,0.001,64,lr_0.001_hc_64
8,10.679006576538086,2.4537501335144043,1.4262503385543823,1.438701868057251,5.36030387878418,40.828503239004434,63.0071599045346,12.17183770883055,93.93507838249207,52.48564480871541,16.91081666946411,2.0461108684539795,0.960693043575437,0.001,64,lr_0.001_hc_64
9,10.553089141845703,2.316924571990967,1.4247828722000122,1.4464645385742188,5.364917755126953,41.73201500170474,62.88782816229117,12.137742925332425,93.79271268844604,52.637574694443586,19.406059980392456,2.43229603767395,0.9558895783575597,0.001,64,lr_0.001_hc_64
10,10.584547996520996,2.2798075675964355,1.4568960666656494,1.4492945671081543,5.398550033569336,39.82270712580976,63.14353903852711,12.018411183088986,93.0239200592041,52.002144351657485,21.443032026290894,1.9737966060638428,0.9511101304657719,0.001,64,lr_0.001_hc_64
