epochs,losses,size_losses,religion_losses,ethnicity_losses,household_composition_losses,religion_accuracies,ethnicity_accuracies,household_composition_accuracies,size_distribution_accuracies,overall_accuracies,cumulative_time_seconds,epoch_time_seconds,tau_values
1,11.373832702636719,3.142245292663574,1.4245078563690186,1.4388076066970825,5.368271827697754,40.77736106375725,62.9219229457893,11.728605523354926,93.39407682418823,52.20549158927243,9.101208925247192,9.101208925247192,0.995
2,10.760400772094727,2.6007907390594482,1.4025801420211792,1.423642635345459,5.33338737487793,41.783157176951924,61.72860552335493,11.285373337879305,94.39066052436829,52.29694914063862,18.560315370559692,9.025997400283813,0.990025
3,10.396851539611816,2.269540786743164,1.4165639877319336,1.4257735013961792,5.28497314453125,41.305830207978175,62.41050119331742,12.069553358336174,93.56492161750793,52.33770159428492,28.110788822174072,9.023161888122559,0.985074875
4,10.133979797363281,2.0182807445526123,1.406835913658142,1.4129074811935425,5.295956134796143,41.305830207978175,62.87078077054211,11.200136379133992,93.62186789512634,52.24965381319515,37.22872352600098,8.629953145980835,0.9801495006250001
5,9.540088653564453,1.4816415309906006,1.4056370258331299,1.407781720161438,5.245028018951416,40.81145584725537,62.66621206955336,12.495738152062733,93.22323799133301,52.29916101505112,47.59804725646973,9.872813940048218,0.9752487531218751
6,9.150854110717773,1.117655634880066,1.3882555961608887,1.393154501914978,5.2517876625061035,41.95363109444255,62.12069553358336,12.308216842823049,93.0523931980133,52.35873416721557,57.648637533187866,9.526238441467285,0.9703725093562657
7,8.798891067504883,0.8741658329963684,1.3656915426254272,1.370752215385437,5.188281059265137,41.646778042959426,62.376406409819296,13.876576883736789,89.16195631027222,51.76542941169693,67.18773126602173,8.965903043746948,0.9655206468094844
8,8.74837875366211,0.7335303425788879,1.3747726678848267,1.3784446716308594,5.261631488800049,42.05591544493693,62.257074667575864,13.689055574497102,86.08430027961731,51.0215864916568,76.2291796207428,8.518461227416992,0.960693043575437
9,8.595788955688477,0.7079512476921082,1.3365384340286255,1.3536806106567383,5.1976189613342285,41.288782816229116,61.62632117286056,14.677804295942721,82.22342133522034,49.95408240506318,86.4055802822113,9.681379079818726,0.9558895783575597
10,8.523345947265625,0.6870686411857605,1.3173667192459106,1.3328055143356323,5.186105251312256,42.53324241391067,62.68325946130242,14.745993862938969,79.5339286327362,49.87410609272207,100.14476561546326,13.181376457214355,0.9511101304657719
