epochs,losses,size_losses,religion_losses,ethnicity_losses,household_composition_losses,religion_accuracies,ethnicity_accuracies,household_composition_accuracies,size_distribution_accuracies,overall_accuracies,cumulative_time_seconds,epoch_time_seconds,tau_values
1,12.769968032836914,3.548579454421997,1.6137402057647705,2.137779951095581,5.4698686599731445,37.01244813278009,41.244813278008294,10.601659751037344,95.08765935897827,45.986645130201,8.154022455215454,8.154022455215454,0.995
2,11.79236888885498,2.6546385288238525,1.583138108253479,2.1117913722991943,5.442800521850586,37.39626556016597,40.788381742738586,10.176348547717842,95.41839957237244,45.94484885574871,17.655470848083496,9.12033200263977,0.990025
3,10.669336318969727,1.5940874814987183,1.585206151008606,2.0937938690185547,5.396248817443848,36.55601659751037,38.796680497925315,10.902489626556017,95.44403553009033,45.42480556302051,27.256968021392822,9.08525276184082,0.985074875
4,9.831439971923828,0.8916566371917725,1.5519989728927612,2.0401451587677,5.347639560699463,35.19709543568465,36.53526970954356,12.41701244813278,86.8036150932312,42.73824817164805,37.089733839035034,9.287121772766113,0.9801495006250001
5,9.636571884155273,0.7891295552253723,1.5012644529342651,1.9908689260482788,5.355308532714844,36.54564315352697,35.57053941908714,13.620331950207468,79.88409996032715,41.40515362078718,46.81810712814331,9.186867713928223,0.9752487531218751
6,9.32618522644043,0.6861677169799805,1.4618468284606934,1.9409503936767578,5.23721981048584,37.697095435684645,36.35892116182573,15.228215767634854,80.6340217590332,42.479563531044604,56.60441064834595,9.254099130630493,0.9703725093562657
7,9.060349464416504,0.6039721369743347,1.4442635774612427,1.9092144966125488,5.102899074554443,37.87344398340249,37.02282157676349,16.815352697095438,82.80403017997742,43.62891210930971,66.66499042510986,9.540128469467163,0.9655206468094844
8,8.894523620605469,0.5783637762069702,1.4358326196670532,1.9036359786987305,4.976691246032715,38.66182572614108,37.29253112033195,16.76348547717842,86.70923709869385,44.85676985558632,76.5199761390686,9.300672769546509,0.960693043575437
9,8.827596664428711,0.6415422558784485,1.4234191179275513,1.8976274728775024,4.865007400512695,39.68879668049792,39.28423236514523,17.5,89.45128321647644,46.48107806552989,86.26411247253418,9.216977834701538,0.9558895783575597
10,8.747213363647461,0.6504008769989014,1.4266074895858765,1.9021393060684204,4.768065929412842,39.07676348547718,38.962655601659755,18.744813278008298,89.27388191223145,46.51452856934417,96.50914216041565,9.704478740692139,0.9511101304657719
11,8.551365852355957,0.6829601526260376,1.3680020570755005,1.8426899909973145,4.657713890075684,41.462655601659755,39.522821576763484,20.70539419087137,86.68643832206726,47.094327422840465,106.1589138507843,9.11323618888855,0.946354579813443
12,8.504554748535156,0.7466984391212463,1.3441675901412964,1.7995792627334595,4.614109039306641,42.54149377593361,40.010373443983404,22.437759336099585,83.51551294326782,47.1262848748211,115.85053610801697,9.166654348373413,0.9416228069143757
13,8.35843563079834,0.7500054836273193,1.2920506000518799,1.7588443756103516,4.557535171508789,43.19502074688797,40.954356846473026,23.319502074688796,83.47650170326233,47.73634534282803,125.59463381767273,9.181017875671387,0.9369146928798039
14,8.236968040466309,0.7388566136360168,1.2592294216156006,1.7437443733215332,4.495137691497803,45.788381742738586,41.90871369294606,25.197095435684645,82.62047171592712,48.8786656468241,135.93042397499084,9.79582142829895,0.9322301194154049
15,8.140592575073242,0.7488033175468445,1.2350983619689941,1.7180031538009644,4.438687324523926,46.2655601659751,42.88381742738589,25.746887966804977,82.56588578224182,49.36553783560195,146.0003354549408,9.524853944778442,0.9275689688183278
16,8.051963806152344,0.7457178235054016,1.215131402015686,1.7104909420013428,4.380623817443848,46.79460580912863,43.080912863070544,27.053941908713693,82.49343037605286,49.85572273924143,155.6289324760437,9.115846395492554,0.9229311239742362
17,7.929603576660156,0.7463908195495605,1.1897724866867065,1.6905044317245483,4.302935600280762,47.43775933609958,42.96680497925311,27.39626556016598,81.81146383285522,49.90307342709347,165.74635577201843,9.581318616867065,0.918316468354365
18,7.8315534591674805,0.7409870624542236,1.1693264245986938,1.6721121072769165,4.2491278648376465,49.68879668049793,45.62240663900415,27.852697095435687,83.24112296104431,51.60125584399552,175.33524703979492,9.016101598739624,0.9137248860125932
19,7.838828086853027,0.7588961720466614,1.1620804071426392,1.6759662628173828,4.241885185241699,49.83402489626556,45.684647302904565,28.17427385892116,83.84344577789307,51.88409795899609,184.88356828689575,9.000959634780884,0.9091562615825302
20,7.710299015045166,0.7996172308921814,1.1137422323226929,1.6375563144683838,4.159383296966553,52.302904564315355,47.39626556016597,29.574688796680498,82.29514360427856,52.89225063136009,194.5649003982544,9.096151351928711,0.9046104802746175
21,7.666013240814209,0.8356366753578186,1.102047324180603,1.6030988693237305,4.125230312347412,52.593360995850624,48.3195020746888,30.477178423236516,82.36492872238159,53.43874255403938,204.4763524532318,9.353005647659302,0.9000874278732445
22,7.6090803146362305,0.8379174470901489,1.075679063796997,1.587663173675537,4.107820510864258,54.86514522821577,49.51244813278009,30.90248962655602,81.62742853164673,54.22687787979965,214.1706473827362,9.173886775970459,0.8955869907338783
23,7.529763698577881,0.8530826568603516,1.0527846813201904,1.5810986757278442,4.042797565460205,55.248962655601666,49.74066390041494,31.981327800829874,81.74271583557129,54.67841754810444,223.7220380306244,9.018021583557129,0.8911090557802088
24,7.458191394805908,0.8855260014533997,1.0330308675765991,1.5514389276504517,3.9881954193115234,57.14730290456431,50.70539419087137,33.27800829875518,80.72215914726257,55.46321613536336,233.27674770355225,9.0150306224823,0.8866535105013078
25,7.3842267990112305,0.8541872501373291,1.032667875289917,1.550478458404541,3.9468932151794434,56.92946058091286,50.47717842323651,33.371369294605806,81.96048140525818,55.68462242600334,243.23741912841797,9.41574215888977,0.8822202429488013
26,7.346185684204102,0.8654162287712097,1.035760760307312,1.5385112762451172,3.9064977169036865,57.43775933609958,50.933609958506224,34.107883817427386,81.59881830215454,56.01951785354693,252.94614338874817,9.189931869506836,0.8778091417340573
27,7.266704082489014,0.9075822830200195,1.014097809791565,1.509498953819275,3.8355250358581543,58.143153526970956,52.04356846473029,34.76141078838174,81.66507482528687,56.653301901342466,263.3204891681671,9.829028129577637,0.8734200960253871
28,7.232221603393555,0.9457272291183472,0.9908965826034546,1.5043777227401733,3.79121994972229,59.5746887966805,52.282157676348554,36.410788381742734,80.38899302482605,57.16415696989946,273.2182037830353,9.364947080612183,0.8690529955452602
29,7.211852073669434,0.9537133574485779,0.9892601370811462,1.4832086563110352,3.785670042037964,60.08298755186722,53.60995850622407,36.93983402489627,80.07094264030457,57.67593068082303,282.9864110946655,9.248268604278564,0.8647077305675338
30,7.158265113830566,0.9734281897544861,0.9688037037849426,1.4887944459915161,3.727238893508911,60.8609958506224,53.36099585062241,37.75933609958506,80.22862672805786,58.05248863222193,292.6478419303894,9.116496324539185,0.8603841919146962
31,7.092824935913086,0.9547452926635742,0.9526479840278625,1.471213936805725,3.7142174243927,62.10580912863071,54.09751037344398,38.25726141078838,81.25256896018982,58.92828746826322,302.78709053993225,9.6139395236969,0.8560822709551227
32,7.035267353057861,0.9624506235122681,0.9589067697525024,1.464984655380249,3.648925304412842,61.45228215767635,54.1804979253112,38.78630705394191,82.11507797241211,59.13354127733539,312.87351059913635,9.560113668441772,0.851801859600347
33,7.005559921264648,0.9900211095809937,0.9410627484321594,1.4620907306671143,3.6123852729797363,63.21576763485477,55.88174273858921,39.38796680497925,81.96572661399841,60.1128009481054,322.4248549938202,9.019773483276367,0.8475428503023453
34,6.9507551193237305,1.0219932794570923,0.9159649610519409,1.4617115259170532,3.5510857105255127,64.91701244813278,55.622406639004154,41.058091286307054,81.04556202888489,60.66076810058222,332.3523073196411,9.378616094589233,0.8433051360508336
35,6.891014099121094,1.025334119796753,0.9058302044868469,1.4353524446487427,3.5244972705841064,65.0311203319502,56.22406639004149,41.10995850622407,81.05581402778625,60.855239814000505,342.218563079834,9.321147441864014,0.8390886103705794
36,6.8291425704956055,1.0044786930084229,0.903556764125824,1.4351093769073486,3.485997438430786,64.89626556016597,56.17219917012448,42.20954356846473,82.15076327323914,61.35719289299859,352.0545551776886,9.259690284729004,0.8348931673187264
