epochs,losses,size_losses,religion_losses,ethnicity_losses,household_composition_losses,religion_accuracies,ethnicity_accuracies,household_composition_accuracies,size_distribution_accuracies,overall_accuracies,cumulative_time_seconds,epoch_time_seconds,tau_values,learning_rate,hidden_channels,combination_id
1,12.919414520263672,3.47131085395813,1.3740109205245972,2.4650461673736572,5.609046936035156,47.8062306312184,53.955309084977976,10.2104061327679,96.13056778907776,52.0256284095105,3.6242895126342773,3.6242895126342773,0.995,0.005,256,lr_0.005_hc_256
2,11.25048828125,1.8163858652114868,1.3641383647918701,2.442627429962158,5.6273369789123535,46.631870820420815,52.68308595661393,9.509052356874898,95.21772861480713,51.010434437179185,6.833165407180786,3.0588176250457764,0.990025,0.005,256,lr_0.005_hc_256
3,10.730338096618652,1.0881049633026123,1.3323417901992798,2.4050405025482178,5.904850959777832,48.5075844071114,53.90637742619475,10.340890556189855,79.53624129295349,48.07277342061237,10.104129314422607,3.1178641319274902,0.985074875,0.005,256,lr_0.005_hc_256
4,10.07476806640625,0.7982185482978821,1.2899914979934692,2.347222089767456,5.639335632324219,49.04583265372696,53.44968194421791,11.596803131626162,79.90151643753052,48.49845854177539,13.296991348266602,3.041991710662842,0.9801495006250001,0.005,256,lr_0.005_hc_256
5,9.624204635620117,0.7278979420661926,1.274207353591919,2.3442323207855225,5.277867794036865,50.0897080411026,53.53123470885664,12.608057413146307,89.07178044319153,51.32519515157426,16.489990234375,3.039891481399536,0.9752487531218751,0.005,256,lr_0.005_hc_256
6,9.530728340148926,0.9111394882202148,1.2419602870941162,2.308288335800171,5.069340229034424,49.63301255912575,53.9226879791225,14.255423258848474,89.83743190765381,51.91213892618764,19.714258670806885,3.0752339363098145,0.9703725093562657,0.005,256,lr_0.005_hc_256
7,9.383323669433594,0.95356285572052,1.1928637027740479,2.2797904014587402,4.957107067108154,51.75338443973251,53.743271896917314,16.636763986299137,86.2723708152771,52.10144778455652,22.989224195480347,3.114915132522583,0.9655206468094844,0.005,256,lr_0.005_hc_256
8,9.195402145385742,0.8707146048545837,1.148085355758667,2.2429916858673096,4.933610439300537,53.890066873267,54.96656336649812,16.08220518675583,85.09232997894287,52.50779135136596,26.230286121368408,3.093850612640381,0.960693043575437,0.005,256,lr_0.005_hc_256
9,9.16655158996582,0.8680432438850403,1.1145821809768677,2.2078475952148438,4.976078510284424,56.66286087098352,56.8748980590442,16.914043386070787,82.89840817451477,53.33755262265332,29.572101354599,3.1901607513427734,0.9558895783575597,0.005,256,lr_0.005_hc_256
10,9.054265975952148,0.7870513796806335,1.098005771636963,2.1702723503112793,4.998937129974365,58.14712118740826,59.27254933942261,16.799869515576578,82.65189528465271,54.21785883176504,32.80090355873108,3.0779426097869873,0.9511101304657719,0.005,256,lr_0.005_hc_256
11,8.881211280822754,0.7697954177856445,1.0717978477478027,2.1385834217071533,4.901034832000732,59.011580492578695,59.37041265698907,17.95791877344642,84.371417760849,55.177832420965785,36.02802872657776,3.069700002670288,0.946354579813443,0.005,256,lr_0.005_hc_256
12,8.792141914367676,0.8102570176124573,1.0505069494247437,2.1416244506835938,4.789753437042236,61.24612624367967,60.34904583265372,18.822378078616865,83.35765600204468,55.94380153924874,39.25315523147583,3.0730793476104736,0.9416228069143757,0.005,256,lr_0.005_hc_256
13,8.747488021850586,0.8636627197265625,1.0138086080551147,2.1009273529052734,4.769089221954346,62.56728103082695,61.68651117272875,19.083346925460773,81.36261701583862,56.17493903621378,42.49407625198364,3.0857725143432617,0.9369146928798039,0.005,256,lr_0.005_hc_256
14,8.665365219116211,0.8995630145072937,0.9784101843833923,2.0816681385040283,4.705723762512207,63.67639862991356,61.295057902462894,21.203718806067524,82.11866617202759,57.07346037761789,45.705971002578735,3.064814567565918,0.9322301194154049,0.005,256,lr_0.005_hc_256
15,8.625253677368164,0.9097164273262024,0.9503113627433777,2.0473666191101074,4.717858791351318,65.22590115804925,61.76806393736748,19.768390148426032,81.01895451545715,56.945327439824986,48.93142294883728,3.075637102127075,0.9275689688183278,0.005,256,lr_0.005_hc_256
16,8.50745677947998,0.8879232406616211,0.9181751608848572,2.0107767581939697,4.690581798553467,66.43288207470233,63.62746697113032,20.942749959223615,83.19839835166931,58.5503743391814,52.26804542541504,3.1847424507141113,0.9229311239742362,0.005,256,lr_0.005_hc_256
