geography code,total,M 0_15 1PE,M 0_15 1PA,M 0_15 1FE,M 0_15 1FM-0C,M 0_15 1FM-nC,M 0_15 1FM-nA,M 0_15 1FC-0C,M 0_15 1FC-nC,M 0_15 1FC-nA,M 0_15 1FL-nC,M 0_15 1FL-nA,M 0_15 1H-nC,M 0_15 1H-nS,M 0_15 1H-nE,M 0_15 1H-nA,M 16_24 1PE,M 16_24 1PA,M 16_24 1FE,M 16_24 1FM-0C,M 16_24 1FM-nC,M 16_24 1FM-nA,M 16_24 1FC-0C,M 16_24 1FC-nC,M 16_24 1FC-nA,M 16_24 1FL-nC,M 16_24 1FL-nA,M 16_24 1H-nC,M 16_24 1H-nS,M 16_24 1H-nE,M 16_24 1H-nA,M 25_34 1PE,M 25_34 1PA,M 25_34 1FE,M 25_34 1FM-0C,M 25_34 1FM-nC,M 25_34 1FM-nA,M 25_34 1FC-0C,M 25_34 1FC-nC,M 25_34 1FC-nA,M 25_34 1FL-nC,M 25_34 1FL-nA,M 25_34 1H-nC,M 25_34 1H-nS,M 25_34 1H-nE,M 25_34 1H-nA,M 35_49 1PE,M 35_49 1PA,M 35_49 1FE,M 35_49 1FM-0C,M 35_49 1FM-nC,M 35_49 1FM-nA,M 35_49 1FC-0C,M 35_49 1FC-nC,M 35_49 1FC-nA,M 35_49 1FL-nC,M 35_49 1FL-nA,M 35_49 1H-nC,M 35_49 1H-nS,M 35_49 1H-nE,M 35_49 1H-nA,M 50+ 1PE,M 50+ 1PA,M 50+ 1FE,M 50+ 1FM-0C,M 50+ 1FM-nC,M 50+ 1FM-nA,M 50+ 1FC-0C,M 50+ 1FC-nC,M 50+ 1FC-nA,M 50+ 1FL-nC,M 50+ 1FL-nA,M 50+ 1H-nC,M 50+ 1H-nS,M 50+ 1H-nE,M 50+ 1H-nA,F 0_15 1PE,F 0_15 1PA,F 0_15 1FE,F 0_15 1FM-0C,F 0_15 1FM-nC,F 0_15 1FM-nA,F 0_15 1FC-0C,F 0_15 1FC-nC,F 0_15 1FC-nA,F 0_15 1FL-nC,F 0_15 1FL-nA,F 0_15 1H-nC,F 0_15 1H-nS,F 0_15 1H-nE,F 0_15 1H-nA,F 16_24 1PE,F 16_24 1PA,F 16_24 1FE,F 16_24 1FM-0C,F 16_24 1FM-nC,F 16_24 1FM-nA,F 16_24 1FC-0C,F 16_24 1FC-nC,F 16_24 1FC-nA,F 16_24 1FL-nC,F 16_24 1FL-nA,F 16_24 1H-nC,F 16_24 1H-nS,F 16_24 1H-nE,F 16_24 1H-nA,F 25_34 1PE,F 25_34 1PA,F 25_34 1FE,F 25_34 1FM-0C,F 25_34 1FM-nC,F 25_34 1FM-nA,F 25_34 1FC-0C,F 25_34 1FC-nC,F 25_34 1FC-nA,F 25_34 1FL-nC,F 25_34 1FL-nA,F 25_34 1H-nC,F 25_34 1H-nS,F 25_34 1H-nE,F 25_34 1H-nA,F 35_49 1PE,F 35_49 1PA,F 35_49 1FE,F 35_49 1FM-0C,F 35_49 1FM-nC,F 35_49 1FM-nA,F 35_49 1FC-0C,F 35_49 1FC-nC,F 35_49 1FC-nA,F 35_49 1FL-nC,F 35_49 1FL-nA,F 35_49 1H-nC,F 35_49 1H-nS,F 35_49 1H-nE,F 35_49 1H-nA,F 50+ 1PE,F 50+ 1PA,F 50+ 1FE,F 50+ 1FM-0C,F 50+ 1FM-nC,F 50+ 1FM-nA,F 50+ 1FC-0C,F 50+ 1FC-nC,F 50+ 1FC-nA,F 50+ 1FL-nC,F 50+ 1FL-nA,F 50+ 1H-nC,F 50+ 1H-nS,F 50+ 1H-nE,F 50+ 1H-nA
E02005940,5847,0,0,0,0,353,0,0,54,0,83,0,45,0,0,0,0,6,0,0,73,25,4,10,4,31,17,15,3,0,44,0,42,0,39,42,26,63,18,0,5,12,7,5,0,100,0,85,0,49,266,23,36,36,1,3,15,27,0,0,46,119,95,233,221,140,105,35,13,2,1,23,19,0,11,62,0,0,0,0,352,0,0,53,0,70,0,45,0,0,0,0,10,0,2,91,30,6,5,1,37,12,28,1,0,34,0,31,0,47,55,15,63,17,1,15,10,15,0,0,68,0,59,0,44,295,16,28,41,3,71,11,50,0,0,24,289,140,228,216,93,97,35,8,1,17,58,30,0,9,78
E02005941,6296,0,1,0,0,386,0,0,35,0,126,0,44,0,0,0,0,9,0,3,68,40,11,7,2,39,20,20,11,0,55,0,94,0,63,62,22,104,17,1,1,10,16,9,0,153,0,116,0,47,290,16,29,31,2,7,9,20,1,0,62,118,104,171,180,123,82,10,8,4,5,21,22,0,6,49,0,0,0,0,410,0,0,60,0,106,0,41,0,0,0,0,16,0,5,68,25,18,11,3,37,20,25,7,0,82,0,65,0,74,75,13,96,22,0,34,8,13,7,0,143,0,76,0,40,304,16,23,27,3,76,13,37,0,0,41,329,123,173,174,95,80,9,6,3,30,48,29,0,17,78
E02005942,5519,0,3,0,0,394,0,1,33,0,82,0,57,0,0,0,0,22,0,3,63,21,9,5,1,19,12,16,17,0,24,0,105,0,44,39,18,61,10,1,2,5,11,25,0,108,0,111,0,50,296,6,48,26,1,4,7,32,0,0,28,74,101,169,215,127,66,25,9,2,4,6,18,1,3,45,0,1,0,0,392,0,0,41,0,53,0,40,0,0,0,0,18,0,4,60,21,12,1,3,21,4,17,38,0,27,0,63,0,59,59,15,66,15,0,17,5,24,16,0,77,0,92,0,45,324,11,33,25,1,47,7,36,0,0,29,198,118,171,200,82,61,21,5,2,22,45,34,1,4,51
E02005943,6222,0,0,0,0,365,0,0,36,0,111,0,62,0,0,0,0,12,0,2,78,55,9,5,6,27,13,37,22,0,55,0,34,0,42,70,41,52,17,0,0,19,22,29,0,169,0,47,0,47,288,38,41,39,2,5,15,35,3,0,59,124,79,233,161,81,137,17,7,5,4,18,31,2,5,54,0,0,0,0,367,0,0,61,0,100,0,51,0,0,0,0,11,0,4,65,35,12,16,3,35,13,31,60,0,74,0,30,0,51,101,27,58,23,2,31,11,30,21,0,160,0,48,0,44,301,34,30,34,3,77,20,49,1,0,30,244,91,234,157,34,116,13,5,2,13,68,30,0,14,80
E02005944,6956,0,0,0,0,335,0,0,122,0,265,0,115,0,0,0,0,9,0,2,84,41,17,29,15,48,42,39,36,0,61,0,50,0,50,92,47,57,37,3,13,35,58,9,0,129,0,89,0,46,219,41,25,61,7,7,27,55,0,0,54,122,115,119,137,68,100,17,8,12,5,45,25,0,6,69,0,0,0,0,311,0,0,94,0,330,0,106,0,0,0,0,24,0,3,77,28,19,27,4,91,21,36,26,0,63,0,78,0,59,118,18,65,49,2,147,12,65,17,0,80,0,91,0,39,219,36,14,56,9,121,40,68,1,0,41,200,115,121,132,31,93,12,3,8,28,81,38,0,7,63
E02005945,8883,0,1,0,0,510,0,0,79,0,69,0,79,0,0,0,0,31,0,2,74,43,19,10,10,16,14,21,261,0,131,0,134,0,82,100,39,113,21,2,1,20,47,44,0,255,0,121,0,55,371,28,48,47,1,2,17,50,2,0,87,126,100,261,210,142,132,34,15,6,5,36,30,0,12,68,0,0,0,0,515,0,0,59,0,81,0,83,0,0,0,0,43,0,5,83,47,29,11,0,26,21,32,258,0,163,0,132,0,98,135,20,95,27,1,33,7,51,23,0,291,0,122,0,52,392,25,42,52,2,56,13,63,1,0,67,357,112,265,200,79,122,30,5,4,13,64,33,0,37,72
E02005946,7969,0,0,0,0,471,0,0,86,0,113,0,68,0,0,0,0,14,0,2,90,39,17,21,5,27,22,16,82,0,80,0,73,0,60,110,44,99,28,2,1,14,56,12,0,189,0,110,0,79,396,33,63,53,1,7,19,47,1,0,71,115,102,205,247,105,141,32,10,5,3,21,33,0,4,101,0,0,0,0,482,0,0,75,0,129,0,81,0,0,0,0,15,0,4,96,41,24,19,1,48,20,31,59,0,107,0,79,0,81,148,24,101,26,3,38,7,50,13,0,159,0,82,0,63,393,35,41,60,2,76,15,48,0,0,45,294,105,207,238,71,125,29,4,5,16,68,45,0,7,89
E02005947,5112,0,0,0,0,173,0,1,18,0,53,0,22,0,0,0,0,67,0,4,26,12,24,4,2,15,9,12,141,0,60,0,269,0,83,42,19,117,5,2,6,9,15,77,0,205,0,182,0,50,125,8,47,12,0,9,4,10,3,0,58,94,173,93,127,62,42,24,6,4,1,6,6,0,4,55,0,0,0,0,178,0,0,15,0,66,0,26,0,0,0,0,47,0,8,37,6,35,3,0,16,9,17,154,0,61,0,125,0,92,41,8,106,10,0,16,4,13,58,0,136,0,89,0,44,146,8,28,8,0,44,11,17,2,0,38,181,98,91,114,41,41,16,3,4,11,31,12,0,1,49
E02005948,6150,0,0,0,0,235,0,0,49,0,79,0,27,0,0,0,0,38,0,3,18,12,22,9,3,20,17,14,241,0,101,0,109,0,91,51,16,165,20,3,7,9,17,123,0,380,0,194,0,78,183,8,56,39,1,3,16,6,1,0,64,108,139,83,114,44,45,31,10,7,4,19,14,0,10,40,0,1,0,0,225,0,0,52,0,74,0,22,0,0,0,0,32,0,8,23,12,23,7,2,24,12,14,218,0,101,0,85,0,103,70,15,158,17,1,18,9,20,68,0,260,0,68,0,67,183,12,36,44,2,54,10,13,2,0,58,189,126,83,94,26,42,23,7,7,18,49,18,2,2,45
E02005949,6161,0,1,0,0,232,0,0,51,0,201,0,72,0,0,0,0,19,0,2,45,36,10,14,8,32,23,31,249,0,104,0,84,0,39,68,48,57,21,3,1,19,42,38,0,217,0,123,0,34,160,30,25,35,5,10,11,52,3,0,71,92,71,113,89,30,111,16,5,10,3,30,26,0,2,48,0,0,0,0,224,0,0,57,0,183,0,78,0,0,0,0,37,0,6,44,32,15,13,3,93,11,24,266,0,121,0,72,0,44,98,19,57,30,0,80,9,62,34,0,150,0,82,0,32,137,30,7,24,11,77,18,59,2,0,62,193,83,120,86,15,94,15,2,9,11,63,26,0,6,63
